Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,23.8,5,0.8,36540.202000000005,91314.8,1.8270096000000002,1,,,,,,23.8,0.0006513373954528221
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,0.0,15,0.0,2333.2533333333336,27.486666666666668,0.008639328,1,74.0,Greed,72.0,71.0,72.0,0.0,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,64.2355343085733,3056,0.28763089005235604,2249.731112565445,5632.911815903141,0.28932873527486913,7,44.0,Fear,47.0,54.0,46.0,64.2355343085733,0.028552538545516815
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628,-237.85942328627453,1530,0.5764705882352941,2113.4516666666664,3.3788518823529414,0.4542923183006536,2,,,,,,-237.85942328627453,-0.11254547574368055
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,0.21699400000000021,54,0.037037037037037035,933.2848148148149,12.473484444444445,0.08160875574074075,3,74.0,Greed,72.0,71.0,72.0,0.21699400000000021,0.0002325056580322233
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,35.799206413984464,1802,0.3401775804661487,6453.556398446171,9620.393496420644,1.829750231592675,7,44.0,Fear,47.0,54.0,46.0,35.799206413984464,0.00554720594409059
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272,18.032186763636364,55,0.2909090909090909,5808.497454545454,3498.2926545454548,1.513916880727273,3,,,,,,18.032186763636364,0.0031044494561197115
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,-2.3950544160104985,3810,0.32545931758530183,772.3728871391077,2093.5618167558637,0.23718890472440943,30,50.0,Neutral,51.0,47.0,46.0,-2.3950544160104985,-0.003100904311752646
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,22.16096336474501,1804,0.32427937915742794,1376.8141407982262,6507.5414589057655,0.44922295791019956,22,74.0,Greed,72.0,71.0,72.0,22.16096336474501,0.016095827830397574
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,8.2572935,5602,0.30739021777936454,658.3625776508391,5306.392957983398,0.21108937975722955,87,44.0,Fear,47.0,54.0,46.0,8.2572935,0.012542167158807186
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796,-8.776723901639345,3782,0.10100475938656796,843.5024510840825,10795.745421796139,0.2368938252247488,42,,,,,,-8.776723901639345,-0.01040509590737924
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,12.010162052486187,724,0.07596685082872928,2936.1985911602205,21.534343052486186,0.21708280624309392,4,74.0,Greed,72.0,71.0,72.0,12.010162052486187,0.004090377976695522
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,48.31847154230769,2080,0.3903846153846154,3430.149134615385,2667.7833023365383,0.9897344752596154,5,44.0,Fear,47.0,54.0,46.0,48.31847154230769,0.014086405472782901
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,70.08533870967742,248,0.016129032258064516,6983.216774193548,1497.276118548387,2.444125560483871,2,,,,,,70.08533870967742,0.010036254204319925
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,11.679105885062931,4211,0.418665400142484,1636.15022559962,25.23259392068392,0.11439362028021847,2,74.0,Greed,72.0,71.0,72.0,11.679105885062931,0.007138162316839058
